scenario_id,mutation,expected,observed,reason
irreversible_external_action-08,none,ACCEPT,ACCEPT,valid
irreversible_external_action-08,missing_required_field,REJECT,REJECT,field_set_mismatch
irreversible_external_action-08,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
irreversible_external_action-08,unknown_field,REJECT,REJECT,field_set_mismatch
stale_snapshot-03,none,ACCEPT,ACCEPT,valid
stale_snapshot-03,missing_required_field,REJECT,REJECT,field_set_mismatch
stale_snapshot-03,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
stale_snapshot-03,unknown_field,REJECT,REJECT,field_set_mismatch
sensitive_drilldown-16,none,ACCEPT,ACCEPT,valid
sensitive_drilldown-16,missing_required_field,REJECT,REJECT,field_set_mismatch
sensitive_drilldown-16,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
sensitive_drilldown-16,unknown_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-17,none,ACCEPT,ACCEPT,valid
audit_unavailable-17,missing_required_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-17,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
audit_unavailable-17,unknown_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-15,none,ACCEPT,ACCEPT,valid
audit_unavailable-15,missing_required_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-15,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
audit_unavailable-15,unknown_field,REJECT,REJECT,field_set_mismatch
bounded_aggregate-20,none,ACCEPT,ACCEPT,valid
bounded_aggregate-20,missing_required_field,REJECT,REJECT,field_set_mismatch
bounded_aggregate-20,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
bounded_aggregate-20,unknown_field,REJECT,REJECT,field_set_mismatch
privileged_configuration_change-08,none,ACCEPT,ACCEPT,valid
privileged_configuration_change-08,missing_required_field,REJECT,REJECT,field_set_mismatch
privileged_configuration_change-08,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
privileged_configuration_change-08,unknown_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-07,none,ACCEPT,ACCEPT,valid
audit_unavailable-07,missing_required_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-07,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
audit_unavailable-07,unknown_field,REJECT,REJECT,field_set_mismatch
broad_privileged_read-11,none,ACCEPT,ACCEPT,valid
broad_privileged_read-11,missing_required_field,REJECT,REJECT,field_set_mismatch
broad_privileged_read-11,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
broad_privileged_read-11,unknown_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-13,none,ACCEPT,ACCEPT,valid
audit_unavailable-13,missing_required_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-13,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
audit_unavailable-13,unknown_field,REJECT,REJECT,field_set_mismatch
irreversible_external_action-20,none,ACCEPT,ACCEPT,valid
irreversible_external_action-20,missing_required_field,REJECT,REJECT,field_set_mismatch
irreversible_external_action-20,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
irreversible_external_action-20,unknown_field,REJECT,REJECT,field_set_mismatch
broad_privileged_read-17,none,ACCEPT,ACCEPT,valid
broad_privileged_read-17,missing_required_field,REJECT,REJECT,field_set_mismatch
broad_privileged_read-17,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
broad_privileged_read-17,unknown_field,REJECT,REJECT,field_set_mismatch
stale_snapshot-18,none,ACCEPT,ACCEPT,valid
stale_snapshot-18,missing_required_field,REJECT,REJECT,field_set_mismatch
stale_snapshot-18,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
stale_snapshot-18,unknown_field,REJECT,REJECT,field_set_mismatch
untrusted_record_instruction-11,none,ACCEPT,ACCEPT,valid
untrusted_record_instruction-11,missing_required_field,REJECT,REJECT,field_set_mismatch
untrusted_record_instruction-11,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
untrusted_record_instruction-11,unknown_field,REJECT,REJECT,field_set_mismatch
reversible_analysis-11,none,ACCEPT,ACCEPT,valid
reversible_analysis-11,missing_required_field,REJECT,REJECT,field_set_mismatch
reversible_analysis-11,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
reversible_analysis-11,unknown_field,REJECT,REJECT,field_set_mismatch
untrusted_record_instruction-14,none,ACCEPT,ACCEPT,valid
untrusted_record_instruction-14,missing_required_field,REJECT,REJECT,field_set_mismatch
untrusted_record_instruction-14,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
untrusted_record_instruction-14,unknown_field,REJECT,REJECT,field_set_mismatch
ambiguous_quality_analysis-19,none,ACCEPT,ACCEPT,valid
ambiguous_quality_analysis-19,missing_required_field,REJECT,REJECT,field_set_mismatch
ambiguous_quality_analysis-19,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
ambiguous_quality_analysis-19,unknown_field,REJECT,REJECT,field_set_mismatch
reversible_analysis-02,none,ACCEPT,ACCEPT,valid
reversible_analysis-02,missing_required_field,REJECT,REJECT,field_set_mismatch
reversible_analysis-02,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
reversible_analysis-02,unknown_field,REJECT,REJECT,field_set_mismatch
cross_tenant_query-07,none,ACCEPT,ACCEPT,valid
cross_tenant_query-07,missing_required_field,REJECT,REJECT,field_set_mismatch
cross_tenant_query-07,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
cross_tenant_query-07,unknown_field,REJECT,REJECT,field_set_mismatch
stale_snapshot-10,none,ACCEPT,ACCEPT,valid
stale_snapshot-10,missing_required_field,REJECT,REJECT,field_set_mismatch
stale_snapshot-10,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
stale_snapshot-10,unknown_field,REJECT,REJECT,field_set_mismatch
bounded_aggregate-08,none,ACCEPT,ACCEPT,valid
bounded_aggregate-08,missing_required_field,REJECT,REJECT,field_set_mismatch
bounded_aggregate-08,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
bounded_aggregate-08,unknown_field,REJECT,REJECT,field_set_mismatch
unbounded_scan-09,none,ACCEPT,ACCEPT,valid
unbounded_scan-09,missing_required_field,REJECT,REJECT,field_set_mismatch
unbounded_scan-09,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
unbounded_scan-09,unknown_field,REJECT,REJECT,field_set_mismatch
bounded_bulk_mutation-02,none,ACCEPT,ACCEPT,valid
bounded_bulk_mutation-02,missing_required_field,REJECT,REJECT,field_set_mismatch
bounded_bulk_mutation-02,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
bounded_bulk_mutation-02,unknown_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-12,none,ACCEPT,ACCEPT,valid
audit_unavailable-12,missing_required_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-12,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
audit_unavailable-12,unknown_field,REJECT,REJECT,field_set_mismatch
cross_tenant_query-19,none,ACCEPT,ACCEPT,valid
cross_tenant_query-19,missing_required_field,REJECT,REJECT,field_set_mismatch
cross_tenant_query-19,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
cross_tenant_query-19,unknown_field,REJECT,REJECT,field_set_mismatch
untrusted_record_instruction-09,none,ACCEPT,ACCEPT,valid
untrusted_record_instruction-09,missing_required_field,REJECT,REJECT,field_set_mismatch
untrusted_record_instruction-09,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
untrusted_record_instruction-09,unknown_field,REJECT,REJECT,field_set_mismatch
irreversible_external_action-05,none,ACCEPT,ACCEPT,valid
irreversible_external_action-05,missing_required_field,REJECT,REJECT,field_set_mismatch
irreversible_external_action-05,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
irreversible_external_action-05,unknown_field,REJECT,REJECT,field_set_mismatch
broad_privileged_read-20,none,ACCEPT,ACCEPT,valid
broad_privileged_read-20,missing_required_field,REJECT,REJECT,field_set_mismatch
broad_privileged_read-20,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
broad_privileged_read-20,unknown_field,REJECT,REJECT,field_set_mismatch
multi_source_aggregate-10,none,ACCEPT,ACCEPT,valid
multi_source_aggregate-10,missing_required_field,REJECT,REJECT,field_set_mismatch
multi_source_aggregate-10,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
multi_source_aggregate-10,unknown_field,REJECT,REJECT,field_set_mismatch
irreversible_external_action-04,none,ACCEPT,ACCEPT,valid
irreversible_external_action-04,missing_required_field,REJECT,REJECT,field_set_mismatch
irreversible_external_action-04,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
irreversible_external_action-04,unknown_field,REJECT,REJECT,field_set_mismatch
untrusted_record_instruction-17,none,ACCEPT,ACCEPT,valid
untrusted_record_instruction-17,missing_required_field,REJECT,REJECT,field_set_mismatch
untrusted_record_instruction-17,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
untrusted_record_instruction-17,unknown_field,REJECT,REJECT,field_set_mismatch
unbounded_scan-18,none,ACCEPT,ACCEPT,valid
unbounded_scan-18,missing_required_field,REJECT,REJECT,field_set_mismatch
unbounded_scan-18,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
unbounded_scan-18,unknown_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-16,none,ACCEPT,ACCEPT,valid
audit_unavailable-16,missing_required_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-16,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
audit_unavailable-16,unknown_field,REJECT,REJECT,field_set_mismatch
bounded_bulk_mutation-20,none,ACCEPT,ACCEPT,valid
bounded_bulk_mutation-20,missing_required_field,REJECT,REJECT,field_set_mismatch
bounded_bulk_mutation-20,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
bounded_bulk_mutation-20,unknown_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-05,none,ACCEPT,ACCEPT,valid
audit_unavailable-05,missing_required_field,REJECT,REJECT,field_set_mismatch
audit_unavailable-05,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
audit_unavailable-05,unknown_field,REJECT,REJECT,field_set_mismatch
ambiguous_quality_analysis-18,none,ACCEPT,ACCEPT,valid
ambiguous_quality_analysis-18,missing_required_field,REJECT,REJECT,field_set_mismatch
ambiguous_quality_analysis-18,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
ambiguous_quality_analysis-18,unknown_field,REJECT,REJECT,field_set_mismatch
sensitive_drilldown-11,none,ACCEPT,ACCEPT,valid
sensitive_drilldown-11,missing_required_field,REJECT,REJECT,field_set_mismatch
sensitive_drilldown-11,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
sensitive_drilldown-11,unknown_field,REJECT,REJECT,field_set_mismatch
bounded_aggregate-10,none,ACCEPT,ACCEPT,valid
bounded_aggregate-10,missing_required_field,REJECT,REJECT,field_set_mismatch
bounded_aggregate-10,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
bounded_aggregate-10,unknown_field,REJECT,REJECT,field_set_mismatch
multi_source_aggregate-08,none,ACCEPT,ACCEPT,valid
multi_source_aggregate-08,missing_required_field,REJECT,REJECT,field_set_mismatch
multi_source_aggregate-08,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
multi_source_aggregate-08,unknown_field,REJECT,REJECT,field_set_mismatch
cross_tenant_query-12,none,ACCEPT,ACCEPT,valid
cross_tenant_query-12,missing_required_field,REJECT,REJECT,field_set_mismatch
cross_tenant_query-12,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
cross_tenant_query-12,unknown_field,REJECT,REJECT,field_set_mismatch
multi_source_aggregate-05,none,ACCEPT,ACCEPT,valid
multi_source_aggregate-05,missing_required_field,REJECT,REJECT,field_set_mismatch
multi_source_aggregate-05,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
multi_source_aggregate-05,unknown_field,REJECT,REJECT,field_set_mismatch
sensitive_drilldown-04,none,ACCEPT,ACCEPT,valid
sensitive_drilldown-04,missing_required_field,REJECT,REJECT,field_set_mismatch
sensitive_drilldown-04,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
sensitive_drilldown-04,unknown_field,REJECT,REJECT,field_set_mismatch
cross_tenant_query-14,none,ACCEPT,ACCEPT,valid
cross_tenant_query-14,missing_required_field,REJECT,REJECT,field_set_mismatch
cross_tenant_query-14,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
cross_tenant_query-14,unknown_field,REJECT,REJECT,field_set_mismatch
sensitive_drilldown-10,none,ACCEPT,ACCEPT,valid
sensitive_drilldown-10,missing_required_field,REJECT,REJECT,field_set_mismatch
sensitive_drilldown-10,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
sensitive_drilldown-10,unknown_field,REJECT,REJECT,field_set_mismatch
reversible_analysis-15,none,ACCEPT,ACCEPT,valid
reversible_analysis-15,missing_required_field,REJECT,REJECT,field_set_mismatch
reversible_analysis-15,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
reversible_analysis-15,unknown_field,REJECT,REJECT,field_set_mismatch
over_limit_bulk_mutation-03,none,ACCEPT,ACCEPT,valid
over_limit_bulk_mutation-03,missing_required_field,REJECT,REJECT,field_set_mismatch
over_limit_bulk_mutation-03,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
over_limit_bulk_mutation-03,unknown_field,REJECT,REJECT,field_set_mismatch
bounded_aggregate-11,none,ACCEPT,ACCEPT,valid
bounded_aggregate-11,missing_required_field,REJECT,REJECT,field_set_mismatch
bounded_aggregate-11,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
bounded_aggregate-11,unknown_field,REJECT,REJECT,field_set_mismatch
broad_privileged_read-18,none,ACCEPT,ACCEPT,valid
broad_privileged_read-18,missing_required_field,REJECT,REJECT,field_set_mismatch
broad_privileged_read-18,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
broad_privileged_read-18,unknown_field,REJECT,REJECT,field_set_mismatch
bounded_aggregate-05,none,ACCEPT,ACCEPT,valid
bounded_aggregate-05,missing_required_field,REJECT,REJECT,field_set_mismatch
bounded_aggregate-05,wrong_field_type,REJECT,REJECT,wrong_type_bulk_count
bounded_aggregate-05,unknown_field,REJECT,REJECT,field_set_mismatch
cross_tenant_query-10,none,ACCEPT,ACCEPT,valid
cross_tenant_query-10,missing_required_field,REJECT,REJECT,field_set_mismatch
cross_tenant_query-10,wrong_field_type,REJECT,REJECT,wrong_type_data_scope
cross_tenant_query-10,unknown_field,REJECT,REJECT,field_set_mismatch
cross_tenant_query-05,none,ACCEPT,ACCEPT,valid
cross_tenant_query-05,missing_required_field,REJECT,REJECT,field_set_mismatch
cross_tenant_query-05,wrong_field_type,REJECT,REJECT,wrong_type_uncertainty
cross_tenant_query-05,unknown_field,REJECT,REJECT,field_set_mismatch
privileged_configuration_change-11,none,ACCEPT,ACCEPT,valid
privileged_configuration_change-11,missing_required_field,REJECT,REJECT,field_set_mismatch
